Date,Clicks,Impressions,CTR,Position
2026-03-08,0,311,0%,14.1
2026-03-09,0,1994,0%,10.7
2026-03-10,4,379,1.06%,17.6
2026-03-11,1,312,0.32%,18.1
2026-03-12,4,251,1.59%,18
2026-03-13,1,218,0.46%,18
2026-03-14,0,397,0%,19.7
