Date,Clicks,Impressions,CTR,Position
2026-06-07,0,243,0%,16.6
2026-06-08,0,280,0%,16.4
2026-06-09,0,116,0%,19.4
2026-06-10,0,69,0%,18.3
2026-06-11,0,94,0%,18.8
2026-06-12,1,111,0.9%,22.6
2026-06-13,0,171,0%,18.6
