Date,Clicks,Impressions,CTR,Position
2026-03-22,3,1060,0.28%,27.5
2026-03-23,4,3623,0.11%,38.6
2026-03-24,2,352,0.57%,12.9
2026-03-25,1,289,0.35%,14.5
2026-03-26,3,334,0.9%,11.9
2026-03-27,3,466,0.64%,8.1
2026-03-28,4,556,0.72%,11.1
