Date,Clicks,Impressions,CTR,Position
2025-12-14,0,547,0%,21.6
2025-12-15,1,547,0.18%,22.6
2025-12-16,0,240,0%,34
2025-12-17,0,176,0%,43.2
2025-12-18,0,186,0%,29.6
2025-12-19,2,240,0.83%,35.5
2025-12-20,0,368,0%,32.1
