Date,Clicks,Impressions,CTR,Position
2026-06-21,0,1090,0%,50.5
2026-06-22,0,2413,0%,56.4
2026-06-23,1,190,0.53%,23.4
2026-06-24,0,241,0%,20.8
2026-06-25,1,208,0.48%,26.5
2026-06-26,1,160,0.62%,26
2026-06-27,1,285,0.35%,24.7
