Date,Clicks,Impressions,CTR,Position
2026-03-29,2,530,0.38%,11.5
2026-03-30,4,1471,0.27%,11.4
2026-03-31,4,626,0.64%,9.3
2026-04-01,3,488,0.61%,10.2
2026-04-02,2,442,0.45%,9.9
2026-04-03,0,503,0%,10.6
2026-04-04,3,553,0.54%,11
