Date,Clicks,Impressions,CTR,Position
2025-10-18,1,121,0.83%,18.8
2025-10-17,2,78,2.56%,22.58
2025-10-16,0,124,0%,21.37
2025-10-15,2,355,0.56%,51.15
2025-10-14,0,108,0%,22.6
2025-10-13,1,358,0.28%,14.71
2025-10-12,0,238,0%,18.31
