Date,Clicks,Impressions,CTR,Position
2026-05-10,0,694,0%,16
2026-05-11,2,1228,0.16%,13.9
2026-05-12,3,347,0.86%,16.4
2026-05-13,1,336,0.3%,16.5
2026-05-14,1,330,0.3%,17.8
2026-05-15,2,304,0.66%,18.8
2026-05-16,6,488,1.23%,15.6
