Date,Clicks,Impressions,CTR,Position
2026-03-01,1,707,0.14%,17.3
2026-03-02,1,1020,0.1%,15.2
2026-03-03,3,357,0.84%,21.9
2026-03-04,3,349,0.86%,17.8
2026-03-05,3,361,0.83%,15.4
2026-03-06,2,273,0.73%,16
2026-03-07,3,280,1.07%,18.4
