Date,Clicks,Impressions,CTR,Position
2026-01-25,0,1352,0%,45.3
2026-01-26,0,1850,0%,44.6
2026-01-27,2,285,0.7%,29.3
2026-01-28,1,336,0.3%,30.2
2026-01-29,3,283,1.06%,27.2
2026-01-30,1,362,0.28%,16.8
2026-01-31,1,356,0.28%,24.6
