Date,Clicks,Impressions,CTR,Position
2025-11-22,1,398,0.25%,21.21
2025-11-21,0,295,0%,23.64
2025-11-20,2,370,0.54%,20.72
2025-11-19,2,255,0.78%,27.03
2025-11-18,1,196,0.51%,24.45
2025-11-17,1,463,0.22%,19.31
2025-11-16,0,531,0%,14.81
