Date,Clicks,Impressions,CTR,Position
2025-11-15,0,251,0%,16.12
2025-11-14,1,130,0.77%,27.16
2025-11-13,0,175,0%,32.19
2025-11-12,0,131,0%,29.34
2025-11-11,0,153,0%,31.94
2025-11-10,0,372,0%,17.62
2025-11-09,0,441,0%,16.04
