Date,Clicks,Impressions,CTR,Position
2026-05-03,1,573,0.17%,16.3
2026-05-04,4,1264,0.32%,14.9
2026-05-05,2,315,0.63%,16.1
2026-05-06,0,340,0%,15.5
2026-05-07,3,372,0.81%,16.3
2026-05-08,1,298,0.34%,17
2026-05-09,0,315,0%,17.3
