Date,Clicks,Impressions,CTR,Position
2026-04-17,3,306,0.98%,13.7
2026-04-18,4,399,1%,15.6
2026-04-19,1,606,0.17%,14.7
2026-04-20,1,1045,0.1%,13.7
2026-04-21,2,198,1.01%,17.7
2026-04-22,1,158,0.63%,20.1
2026-04-23,2,206,0.97%,16.6
