Date,Clicks,Impressions,CTR,Position
2026-05-24,3,1583,0.19%,41.2
2026-05-25,2,2574,0.08%,38.6
2026-05-26,0,348,0%,22.7
2026-05-27,5,271,1.85%,19.8
2026-05-28,3,356,0.84%,22.8
2026-05-29,0,559,0%,18.2
2026-05-30,0,404,0%,20.2
