Date,Clicks,Impressions,CTR,Position
2026-05-31,1,491,0.2%,17.9
2026-06-01,1,1303,0.08%,14.4
2026-06-02,2,210,0.95%,19.3
2026-06-03,1,205,0.49%,19.3
2026-06-04,2,254,0.79%,25.6
2026-06-05,1,203,0.49%,19.6
2026-06-06,1,340,0.29%,20.1
