Date,Clicks,Impressions,CTR,Position
2026-02-15,1,731,0.14%,14.8
2026-02-16,1,1009,0.1%,14.8
2026-02-17,1,310,0.32%,23.5
2026-02-18,1,302,0.33%,24.1
2026-02-19,3,249,1.2%,23.4
2026-02-20,0,237,0%,18.7
2026-02-21,5,294,1.7%,22.5
