Device,9/30/25 - 10/6/25 Clicks,9/23/25 - 9/29/25 Clicks,9/30/25 - 10/6/25 Impressions,9/23/25 - 9/29/25 Impressions,9/30/25 - 10/6/25 CTR,9/23/25 - 9/29/25 CTR,9/30/25 - 10/6/25 Position,9/23/25 - 9/29/25 Position
Mobile,1,0,68,90,1.47%,0%,12.51,25.74
Desktop,0,0,468,353,0%,0%,27.99,34.12
Tablet,0,0,1,0,0%,0%,10,0
