Date,Clicks,Impressions,CTR,Position
2026-01-18,0,195,0%,35.4
2026-01-19,0,754,0%,19.1
2026-01-20,1,184,0.54%,40.6
2026-01-21,0,192,0%,45.3
2026-01-22,1,238,0.42%,30.8
2026-01-23,2,183,1.09%,25
2026-01-24,0,378,0%,30.4
