Date,Clicks,Impressions,CTR,Position
2026-01-11,0,563,0%,16.2
2026-01-12,1,873,0.11%,15.7
2026-01-13,0,348,0%,26.5
2026-01-14,0,193,0%,30.9
2026-01-15,0,833,0%,21.5
2026-01-16,0,179,0%,39.8
2026-01-17,0,1539,0%,17
