Date,Clicks,Impressions,CTR,Position
2025-10-25,0,139,0%,20.35
2025-10-24,0,121,0%,22.83
2025-10-23,0,125,0%,21.54
2025-10-22,1,95,1.05%,20.37
2025-10-21,2,100,2%,21.7
2025-10-20,2,333,0.6%,14.2
2025-10-19,2,234,0.85%,17.44
