Date,Clicks,Impressions,CTR,Position
2025-12-07,0,1120,0%,14.5
2025-12-08,0,648,0%,22.7
2025-12-09,0,169,0%,36.8
2025-12-10,1,179,0.56%,42.7
2025-12-11,0,157,0%,33.3
2025-12-12,1,137,0.73%,38.4
2025-12-13,1,292,0.34%,37.1
