Date,Clicks,Impressions,CTR,Position
2025-12-21,1,386,0.26%,32.8
2025-12-22,1,2235,0.04%,38.7
2025-12-23,0,287,0%,37.6
2025-12-24,0,250,0%,39.4
2025-12-25,0,260,0%,30.9
2025-12-26,4,286,1.4%,28.6
2025-12-27,0,325,0%,33.5
