Date,Clicks,Impressions,CTR,Position
2025-12-28,1,423,0.24%,24.5
2025-12-29,1,755,0.13%,20.5
2025-12-30,0,223,0%,41.3
2025-12-31,0,220,0%,42
2026-01-01,1,251,0.4%,31.8
2026-01-02,2,224,0.89%,34.9
2026-01-03,1,304,0.33%,25.1
