Date,Clicks,Impressions,CTR,Position
2025-12-06,1,182,0.55%,39.56
2025-12-05,0,108,0%,43.31
2025-12-04,0,1232,0%,15.01
2025-12-03,0,185,0%,40.75
2025-12-02,1,258,0.39%,35.28
2025-12-01,0,680,0%,20.18
2025-11-30,1,586,0.17%,21.69
