Date,Clicks,Impressions,CTR,Position
2025-11-08,0,134,0%,27.42
2025-11-07,0,114,0%,31.19
2025-11-06,0,184,0%,29.83
2025-11-05,0,129,0%,30.4
2025-11-04,0,154,0%,29.16
2025-11-03,0,415,0%,17.24
2025-11-02,0,485,0%,18.15
