Date,Clicks,Impressions,CTR,Position
2026-02-01,1,615,0.16%,14.9
2026-02-02,2,770,0.26%,16.6
2026-02-03,2,2587,0.08%,21
2026-02-04,1,1260,0.08%,13.1
2026-02-05,4,480,0.83%,16.8
2026-02-06,0,375,0%,14.7
2026-02-07,0,399,0%,17.3
