Date,Clicks,Impressions,CTR,Position
2026-01-04,0,642,0%,23.1
2026-01-05,1,1420,0.07%,16
2026-01-06,0,284,0%,26
2026-01-07,0,1458,0%,15.8
2026-01-08,0,284,0%,31.4
2026-01-09,1,244,0.41%,29.1
2026-01-10,1,461,0.22%,25.5
