Country,Clicks,Impressions,CTR,Position
United States,7,1120,0.62%,18.3
Canada,0,12,0%,10.08
India,0,11,0%,44.82
United Kingdom,0,1,0%,5
Syria,0,1,0%,7
France,0,1,0%,29
Saudi Arabia,0,1,0%,48
